target,cell_type,stimulus,inducibility_lfc,inducibility_se,ci_low,ci_high,tau2,q,i2,n_studies,total_pairs,min_q_value,positive_fraction_activated,positive_fraction_resting,adt_estimate,adt_n_studies,protein_concordance,relevant_stimulus,evidence_class,abstention_reasons
CLDN6,B_cell,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
CLDN6,Myeloid,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
CLDN6,NK_cell,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
CLDN6,T_cell,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
CTLA4,B_cell,IFN_I_6h_confirmation,0.9459093776917677,1.1631203641185544,-1.3338065359805988,3.2256252913641346,,,,1.0,8,0.6350331286828987,0.008571428571428572,0.005232177894048398,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CTLA4,Myeloid,IFN_I_6h_confirmation,0.36735588014969267,0.4504253875984923,-0.5154778795433522,1.2501896398427377,,,,1.0,8,0.6350331286828987,0.004754754754754755,0.002362204724409449,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CTLA4,NK_cell,IFN_I_6h_confirmation,1.9361520389325761,0.7183107727537019,0.5282629243353205,3.344041153529832,,,,1.0,8,0.10394148527483137,0.023001095290251915,0.008064516129032258,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
CTLA4,T_cell,IFN_I_6h_confirmation,0.29382772809094787,0.3245668319420186,-0.3423232625154085,0.9299787186973043,,,,1.0,8,0.5998785407294064,0.029003783102143757,0.019325842696629212,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
DLL3,B_cell,IFN_I_6h_confirmation,0.3465654822227986,0.7922803694079329,-1.2063040418167499,1.899435006262347,,,,1.0,8,0.8999723030931688,0.005,0.0032701111837802484,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
DLL3,Myeloid,IFN_I_6h_confirmation,-0.10238524112876853,0.10238524112876853,-0.30306031374115483,0.09828983148361779,,,,1.0,8,0.5438135994762401,0.0,0.00026246719160104987,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
DLL3,NK_cell,IFN_I_6h_confirmation,0.052005863306045785,0.45237146716066584,-0.8346422123288593,0.9386539389409507,,,,1.0,8,1.0,0.000547645125958379,0.0006720430107526882,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
DLL3,T_cell,IFN_I_6h_confirmation,-0.259245349049245,0.2462317059693419,-0.7418594927491551,0.22336879465066511,,,,1.0,8,0.5350883788561871,0.001008827238335435,0.0011235955056179776,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
ENTPD1,B_cell,IFN_I_6h_confirmation,-1.4854721985256518,1.370673701267344,-4.171992653009646,1.2010482559583424,,,,1.0,8,0.5309611871313465,0.008571428571428572,0.020274689339437543,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
ENTPD1,Myeloid,IFN_I_6h_confirmation,-0.47425477028862456,0.2159838829929766,-0.8975831809548587,-0.050926359622390394,,,,1.0,8,0.1710093762411044,0.03028028028028028,0.04278215223097113,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
ENTPD1,NK_cell,IFN_I_6h_confirmation,0.6005742331111703,0.6740993615559457,-0.7206605155384833,1.921808981760824,,,,1.0,8,0.5998785407294064,0.004928806133625411,0.004032258064516129,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
ENTPD1,T_cell,IFN_I_6h_confirmation,-0.22673436527760094,0.7471481520322776,-1.6911447432608648,1.2376760127056632,,,,1.0,8,0.9720884842293837,0.002269861286254729,0.004044943820224719,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
ERBB2,B_cell,IFN_I_6h_confirmation,0.025174619768820655,0.3799369332328321,-0.7195017693675303,0.7698510089051716,,,,1.0,8,1.0,0.0007142857142857143,0.0006540222367560497,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
ERBB2,Myeloid,IFN_I_6h_confirmation,0.12717709284400655,0.12717709284400652,-0.12209000913024623,0.3764441948182593,,,,1.0,8,0.5438135994762401,0.00025025025025025025,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
ERBB2,NK_cell,IFN_I_6h_confirmation,-0.39302133254130667,0.36752736521774276,-1.1133749683680825,0.32733230328546914,,,,1.0,8,0.5323658912386131,0.000547645125958379,0.0020161290322580645,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
ERBB2,T_cell,IFN_I_6h_confirmation,0.09503020319083588,0.09503020319083587,-0.09122899506320242,0.2812894014448742,,,,1.0,8,0.5438135994762401,0.00025220680958385876,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
FAP,B_cell,IFN_I_6h_confirmation,0.2241459863709476,0.2241459863709476,-0.21518014691610968,0.6634721196580049,,,,1.0,8,0.5438135994762401,0.0007142857142857143,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
FAP,Myeloid,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
FAP,NK_cell,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
FAP,T_cell,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
FOLR1,B_cell,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
FOLR1,Myeloid,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
FOLR1,NK_cell,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
FOLR1,T_cell,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
GPRC5D,B_cell,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
GPRC5D,Myeloid,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
GPRC5D,NK_cell,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
GPRC5D,T_cell,IFN_I_6h_confirmation,0.0,1e-06,-1.96e-06,1.96e-06,,,,1.0,8,1.0,0.0,0.0,,,UNAVAILABLE,True,INSUFFICIENT,['TARGET_UNDETECTED']
HAVCR2,B_cell,IFN_I_6h_confirmation,-0.664655028416399,0.5255692070185412,-1.6947706741727397,0.36546061733994173,,,,1.0,8,0.4407574052362312,0.002142857142857143,0.003924133420536298,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
HAVCR2,Myeloid,IFN_I_6h_confirmation,1.3367130877471265,0.07130513756224029,1.1969550181251356,1.4764711573691174,,,,1.0,8,1.385409083839969e-05,0.3591091091091091,0.1763779527559055,,,UNAVAILABLE,True,B,[]
HAVCR2,NK_cell,IFN_I_6h_confirmation,1.078931076209912,0.23484848586883306,0.6186280439069992,1.539234108512825,,,,1.0,8,0.01462369684131067,0.15443592552026286,0.07728494623655914,,,UNAVAILABLE,True,B,[]
HAVCR2,T_cell,IFN_I_6h_confirmation,1.2188064845865996,0.4825659331641807,0.27297725558480535,2.164635713588394,,,,1.0,8,0.11767027355322182,0.008827238335435058,0.005168539325842696,,,UNAVAILABLE,True,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET']
